StartDate,EndDate,Duration (in seconds),Subject Number,DisplayType,RecordedDate,ResponseId,Q44,QID40,Q41,Q42,Q43,Q45,Q47,Q41,Q42,Q46,Q43,Q44,Q45,Q46,Q47,QID1,QID3,QID4,QID5,QID8,QID9,QID10,Q16,Q18,Q22,Q19,Q20,Q11,Q24,Q25,Q26,Q29,Q30,Q31,Q32,Q33,Q34,Q13,Q14,Q28,Q15,Q27
Start Date,End Date,Duration (in seconds),Subject Number,DisplayType,Recorded Date,Response ID,I have had experience with robots before,I would feel safe interacting with robots:,Robots can be trusted:,I would feel nervous interacting with a robot,I fear that a robot would not understand my commands,Assigning tasks to robots lets people do more meaningful work,Robots are necessary because they can do jobs that are too difficult for people,I would feel uneasy if I was given a job where I had to interact with robots,I would feel nervous interacting with a robot in front of other people,"If a robot had emotions, I would be interested in befriending them",I think a robot can be a communication partner:,I want to converse with a robot:,I can easily learn how to use a robot:,I think the design of a robot should be cute:,I want to tame a robot according to my preferences,"How difficult or complex would you rate the collaborative task? (1- Easy, 21- Difficult)","How physically demanding would you rate the collaborative task? (1- Easy, 21- Difficult)","How hurried or rushed was the pace of the task? (1- Relaxed, 21- Very Rushed)","How successful were you in accomplishing what you were asked to do (1- Did Not Succeed, 21- Success)",I felt like I could understand what the robot was trying to do during the study,I felt like the robot could understand my commands during the study,Please rate the clarity of feedback conveyed by the robot's instructional messages:,Please rate the clarity conveyed by the robot's error messages:,Please rate the level of difficulty for initially learning the display messages,Please rate the level of difficulty for mastering commands based on display messages,Please rate the level of difficulty to adjust any incorrect decisions based on the messages,Please rate the level of difficulty for remembering specific rules about each of the displays:,Please rate how the messages displayed matched your expectation during the tasks:,Performing an operation based on the display message led to a predictable result:,Novices could accomplish the task with the robot based on the display message:,The display images for conveying the information needed to understand the tasks were:,How would you rate the competency of the robot based on your interaction:,How would you rate the intelligence of the robot based on your interaction:,How would you rate the  of the robot based on your interaction:,Please rate your impression of the robot based on this scale:,Please rate your impression of the robot based on this scale:,Please rate your impression of the robot based on this scale:,How would you rate your experience interacting with the robot?,How would you rate the sociability of the robot's behavior?,How would you rate the attitude of the robot's behavior?,Appearance and design of the messages was attractive:,Interacting with the robot was able to maintain my interest:
3/10/2024 12:57:36,3/10/2024 13:12:00,815.00,Subject1,Animated,3/10/2024 13:12:00,R_3B2I3lFUetMg6ml,3.00,1.00,0.00,1.00,0.00,0.00,1.00,-1.00,1.00,1.00,1.00,3.00,3.00,-3.00,-1.00,16.00,1.00,17.00,10.00,0.00,-2.00,-3.00,-1.00,0.00,0.00,4.00,0.00,4.00,4.00,2.00,4.00,2.00,2.00,4.00,0.00,3.00,1.00,3.00,1.00,3.00,4.00,4.00
3/10/2024 13:40:48,3/10/2024 14:09:36,"1,485.00",Subject2,Icons,3/10/2024 14:09:36,R_3QtzY1nEJGZRb6F,3.00,1.00,0.00,1.00,-1.00,1.00,1.00,-1.00,1.00,1.00,1.00,0.00,2.00,1.00,0.00,8.00,5.00,14.00,5.00,1.00,2.00,-1.00,-2.00,1.00,1.00,-1.00,2.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00,1.00,1.00,-1.00,3.00,2.00
3/10/2024 14:24:00,3/10/2024 14:38:24,"1,452.00",Subject3,Static,3/10/2024 14:38:24,R_3kj5PziCpPeqtjR,4.00,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,3.00,1.00,14.00,1.00,12.00,9.00,1.00,1.00,2.00,-1.00,1.00,-1.00,-1.00,-1.00,1.00,1.00,-1.00,1.00,0.00,0.00,0.00,-2.00,-1.00,-1.00,1.00,-1.00,0.00,2.00,3.00
3/10/2024 14:52:48,3/10/2024 15:07:12,844.00,Subject4,Animated,3/10/2024 15:07:12,R_3gjXzbclbGpYQ49,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-1.00,3.00,3.00,1.00,0.00,3.00,15.00,1.00,21.00,1.00,-2.00,-2.00,-3.00,-1.00,0.00,0.00,2.00,-1.00,4.00,-3.00,-2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/10/2024 15:07:12,3/10/2024 15:36:00,"2,176.00",Subject5,Icons,3/10/2024 15:36:00,R_3dKlgp8rjIqEMyE,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,3.00,0.00,3.00,12.00,4.00,14.00,15.00,2.00,1.00,2.00,4.00,2.00,-1.00,-1.00,3.00,3.00,-2.00,-1.00,3.00,1.00,1.00,1.00,2.00,1.00,0.00,2.00,1.00,2.00,2.00,3.00
3/10/2024 15:36:00,3/10/2024 15:50:24,933.00,Subject6,Animated,3/10/2024 15:50:24,R_3p4s4QvSbyvJR2F,2.00,1.00,0.00,1.00,1.00,1.00,-1.00,-1.00,1.00,-1.00,1.00,2.00,3.00,1.00,3.00,17.00,4.00,3.00,11.00,1.00,-1.00,-1.00,-2.00,-3.00,-2.00,-2.00,-4.00,-1.00,0.00,-1.00,-1.00,-1.00,-1.00,0.00,-2.00,0.00,1.00,-1.00,-3.00,0.00,1.00,0.00
3/10/2024 16:19:12,3/10/2024 16:33:36,"1,141.00",Subject7,Static,3/10/2024 16:33:36,R_3tbCA9ArSfniyXD,3.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,2.00,0.00,0.00,13.00,6.00,11.00,3.00,0.00,1.00,-3.00,-3.00,-1.00,-1.00,0.00,-2.00,0.00,1.00,-2.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,2.00
3/17/2024 15:50:24,3/17/2024 16:19:12,"1,501.00",Subject9,Animated,3/17/2024 16:19:12,R_3RaCy9FzkFBQMwv,3.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,3.00,2.00,3.00,3.00,16.00,10.00,5.00,17.00,1.00,2.00,4.00,-3.00,-2.00,-3.00,-1.00,2.00,2.00,4.00,-1.00,0.00,4.00,1.00,1.00,0.00,0.00,3.00,3.00,3.00,2.00,2.00,4.00
3/17/2024 16:19:12,3/17/2024 16:48:00,"1,639.00",Subject10,Icons,3/17/2024 16:48:00,R_3oTjwdQ7BhvE0YG,3.00,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,3.00,12.00,3.00,5.00,9.00,-2.00,3.00,-1.00,-3.00,-1.00,-2.00,-2.00,3.00,-1.00,-1.00,-3.00,-2.00,-1.00,-2.00,1.00,-2.00,-1.00,1.00,-1.00,0.00,0.00,2.00,2.00
